stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,WNDMNSEN,Windward Eb & Main Ns,100 Windward Ave & Main St,33.9879239,-118.4717181,,,,
3,OCEPCONF,Ocean Nb & Pico Fs,1900 Ocean Ave & Pico Blvd,34.00812,-118.4908168,,,,
4,004SMBNN,4Th Nb & Santa Monica Ns,1400 4Th St & Santa Monica Blvd,34.0163321,-118.4949244,,,,
5,SMB006EN,Santa Monica Eb & 6Th Ns,600 Santa Monica Blvd & 6Th St,34.0178414,-118.4934227,,,,
6,SMBCENEF,Santa Monica Eb & Centinela Fs,12400 Santa Monica Blvd & Centinela Ave,34.0386819,-118.4672936,,,,
7,SAWSMBSN,Sawtelle Sb & Santa Monica Ns,1600 Sawtelle Blvd & Santa Monica Blvd,34.0466355,-118.4486271,,,,
8,UCLA,Ucla Terminal,500 Hilgard Ave & Strathmore Dr,34.0710292,-118.4385593,,,,
11,SAWSMBNF,Sawtelle Nb & Santa Monica Fs,1600 Sawtelle Blvd & Santa Monica Blvd,34.0467612,-118.448612,,,,
13,004SMBSF,4Th Sb & Santa Monica Fs,1300 4Th St & Santa Monica Blvd,34.0161266,-118.4949212,,,,
15,MNSPCOSN,Main Sb & Pico Ns,1800 Main St & Pico Blvd,34.0081478,-118.4898627,,,,
17,VENWLGWF,Venice Wb & Walgrove Fs,1600 Venice Blvd & Walgrove Ave,33.9971824,-118.4468006,,,,
20,PCO004EF,Pico Eb & 4Th Fs,400 Pico Blvd & 4Th St,34.0098576,-118.4868643,,,,
21,004COLNF,4Th Nb & Colorado Fs,1500 4Th St & Colorado Ave,34.0140931,-118.4922701,,,,
22,BWY004WF,Broadway Wb & 4Th Fs,400 Broadway & 4Th St,34.0148463,-118.4938629,,,,
26,WILBUNEN,Wilshire Eb & Bundy Ns,12100 Wilshire Blvd & Bundy Dr,34.0438416,-118.4675074,,,,
28,WILBSLEF,Wilshire Eb & Bonsall Fs,11300 Wilshire Blvd & Bonsall Ave,34.0542414,-118.4553495,,,,
29,VAHBSLEF,Va Hospital Eb & Bonsall Fs,11300 Dowlen Dr & Bonsall Ave,34.0534713,-118.4534073,,,,
30,VAHBSLWN,Va Hospital Wb & Bonsall Ns,11300 Dowlen Dr & Bonsall Ave,34.0532743,-118.4538756,,,,
34,004SMPSC,4Th Sb & Santa Monica Place Co,1500 4Th St & Santa Monica Blvd,34.0143598,-118.4928415,,,,
38,GRNL,Green Line Station,11600 Aviation Blvd & W 116Th St,33.9295298,-118.3763995,,,,
40,MANLINWN,Manchester Wb & Lincoln Ns,7100 W Manchester Ave & Lincoln Blvd,33.9598489,-118.4191053,,,,
41,LINWALNF,Lincoln Nb & Washington Bl (Ven) Fs,4000 Lincoln Blvd & Washington Blvd,33.9907719,-118.4480016,,,,
42,LINOPRNN,Lincoln Nb & Ocean Park Ns,2600 Lincoln Blvd & Ocean Park Blvd,34.0068303,-118.4760378,,,,
43,ARZ005EN,Arizona Eb & 5Th Ns,500 Arizona Ave & 5Th St,34.0183416,-118.4959582,,,,
44,004WILNN,4Th Nb & Wilshire Ns,1200 4Th St & Wilshire Blvd,34.0190539,-118.4980961,,,,
45,MON020EN,Montana Eb & 20Th Ns,2000 Montana Ave & 20Th St,34.0365878,-118.4896789,,,,
46,SVSBAREN,San Vicente Eb & Barrington Ns,11600 W San Vicente Blvd & Barrington Ave,34.0534885,-118.4656499,,,,
47,SVSBARWN,San Vicente Wb & Barrington Ns,11600 W San Vicente Blvd & S Barrington Ave,34.0537862,-118.4655492,,,,
48,MON020WN,Montana Wb & 20Th Ns,2000 Montana Ave & 20Th St,34.036756,-118.489727,,,,
50,004WILSF,4Th Sb & Wilshire Fs,1200 4Th St & Wilshire Blvd,34.0185201,-118.4976359,,,,
51,LINOPRSF,Lincoln Sb & Ocean Park Fs,2600 Lincoln Blvd & Ocean Park Blvd,34.0066088,-118.4760538,,,,
52,LINWALSF,Lincoln Sb & Washington Bl (Ven) Fs,4000 Lincoln Blvd & Washington Blvd,33.9900165,-118.4475625,,,,
53,MANLINEF,Manchester Eb & Lincoln Fs,7200 W Manchester Ave & Lincoln Blvd,33.9596936,-118.4186035,,,,
56,SVS026EF,San Vicente Eb & 26Th Fs,13000 San Vicente Blvd & 26Th St,34.0482989,-118.4914643,,,,
58,OLYSAWEF,Olympic Eb & Sawtelle Fs,11300 W Olympic Blvd & Sawtelle Blvd,34.0383877,-118.4407916,,,,
59,OLYWWOEF,Olympic Eb & Westwood Fs,10900 W Olympic Blvd & Westwood Blvd,34.0440032,-118.4314027,,,,
60,CONAVSEF,Constellation Eb & Ave Of Stars Fs,10200 Constellation Blvd & Ave Of The Stars,34.0589049,-118.4154354,,,,
61,PCOBEVEF,Pico Eb & Beverly Fs,9500 W Pico Blvd & S Beverly Dr,34.0552055,-118.3950213,,,,
62,PCOROBEF,Pico Eb & Robertson Fs,8800 W Pico Blvd & S Robertson Blvd,34.0546569,-118.3833222,,,,
63,RIMP,Rimpau Terminal,4646 San Vicente Blvd & W Pico Blvd,34.0478537,-118.337269,,,,
65,PCOROBWF,Pico Wb & Robertson Fs,8800 W Pico Blvd & S Robertson Blvd,34.0549155,-118.3840609,,,,
66,PCOELMWN,Pico Wb & Elm Ns,9400 W Pico Blvd & S Elm Dr,34.0553162,-118.3946817,,,,
67,CONAVSWF,Constellation Wb & Ave Of Stars Fs,10200 Constellation Blvd & Ave Of The Stars,34.0584983,-118.4163964,,,,
68,OLYWWOWF,Olympic Wb & Westwood Fs,10900 W Olympic Blvd & Westwood Blvd,34.0438257,-118.4321386,,,,
70,SAWOLYNF,Sawtelle Nb & Olympic Fs,2100 Sawtelle Blvd & W Olympic Blvd,34.0386633,-118.4414953,,,,
72,PCOLINWF,Pico Wb & Lincoln Fs,700 Pico Blvd & Whitworth Dr,34.0121291,-118.4833926,,,,
73,PCOBUNEN,Pico Eb & Bundy Ns,12100 W Pico Blvd & S Bundy Dr,34.0292302,-118.4503802,,,,
74,WWOPCOSN,Westwood Sb & Pico Ns,2300 Westwood Blvd & W Pico Blvd,34.0403891,-118.4288097,,,,
75,PCOWWOWN,Pico Wb & Westwood Ns,10900 W Pico Blvd & Westwood Blvd,34.0403576,-118.4282351,,,,
76,PCOBUNWN,Pico Wb & Bundy Ns,12000 W Pico Blvd & S Bundy Dr,34.0296908,-118.4498827,,,,
79,BWY006WF,Broadway Wb & 6Th Fs,600 Broadway & 6Th St,34.0164676,-118.492003,,,,
86,WWOWILSF,Westwood Sb & Wilshire Fs,1200 Westwood Blvd & Wilshire Blvd,34.0584177,-118.4437386,,,,
94,ENTPCHWN,Entrada Wb & Pacific Coast Hwy Ns,100 Entrada Dr & Pacific Coast Hwy,34.0280597,-118.5185781,,,,
95,SNTVLPWF,Sunset Wb & Via De La Paz Fs,15400 W Sunset Blvd & Via De La Paz,34.04819,-118.5271862,,,,
